task,variant,schedule,chunk,N,K,threads,run,time,checksum
A,seq,none,0,100000,20,1,1,0.180878,54725000
A,seq,none,0,100000,20,1,2,0.149320,54725000
A,seq,none,0,100000,20,1,3,0.148933,54725000
A,seq,none,0,100000,24,1,1,0.861727,312551580
A,seq,none,0,100000,24,1,2,0.890888,312551580
A,seq,none,0,100000,24,1,3,0.872164,312551580
A,seq,none,0,100000,28,1,1,5.337871,1836308420
A,seq,none,0,100000,28,1,2,5.185465,1836308420
A,seq,none,0,100000,28,1,3,5.186494,1836308420
A,seq,none,0,500000,20,1,1,0.766265,273625000
A,seq,none,0,500000,20,1,2,0.764983,273625000
A,seq,none,0,500000,20,1,3,0.766039,273625000
A,seq,none,0,500000,24,1,1,4.413658,1562975025
A,seq,none,0,500000,24,1,2,4.373104,1562975025
A,seq,none,0,500000,24,1,3,4.430984,1562975025
A,seq,none,0,500000,28,1,1,26.097880,9182569400
A,seq,none,0,500000,28,1,2,26.702035,9182569400
A,seq,none,0,500000,28,1,3,26.169832,9182569400
A,seq,none,0,1000000,20,1,1,1.535346,547250000
A,seq,none,0,1000000,20,1,2,1.557066,547250000
A,seq,none,0,1000000,20,1,3,1.586226,547250000
A,seq,none,0,1000000,24,1,1,8.852114,3125951580
A,seq,none,0,1000000,24,1,2,8.791826,3125951580
A,seq,none,0,1000000,24,1,3,8.853414,3125951580
A,seq,none,0,1000000,28,1,1,51.747079,18365138825
A,seq,none,0,1000000,28,1,2,51.859996,18365138825
A,seq,none,0,1000000,28,1,3,51.962151,18365138825
A,omp,static,0,100000,20,1,1,0.103454,54725000
A,omp,static,0,100000,20,1,2,0.076269,54725000
A,omp,static,0,100000,20,1,3,0.076463,54725000
A,omp,dynamic,1,100000,20,1,1,0.077339,54725000
A,omp,dynamic,1,100000,20,1,2,0.076702,54725000
A,omp,dynamic,1,100000,20,1,3,0.076805,54725000
A,omp,dynamic,4,100000,20,1,1,0.076552,54725000
A,omp,dynamic,4,100000,20,1,2,0.076675,54725000
A,omp,dynamic,4,100000,20,1,3,0.077267,54725000
A,omp,dynamic,16,100000,20,1,1,0.076849,54725000
A,omp,dynamic,16,100000,20,1,2,0.076875,54725000
A,omp,dynamic,16,100000,20,1,3,0.107475,54725000
A,omp,dynamic,64,100000,20,1,1,0.103945,54725000
A,omp,dynamic,64,100000,20,1,2,0.077794,54725000
A,omp,dynamic,64,100000,20,1,3,0.076580,54725000
A,omp,guided,1,100000,20,1,1,0.076328,54725000
A,omp,guided,1,100000,20,1,2,0.076340,54725000
A,omp,guided,1,100000,20,1,3,0.076449,54725000
A,omp,guided,4,100000,20,1,1,0.076542,54725000
A,omp,guided,4,100000,20,1,2,0.076335,54725000
A,omp,guided,4,100000,20,1,3,0.076185,54725000
A,omp,guided,16,100000,20,1,1,0.076435,54725000
A,omp,guided,16,100000,20,1,2,0.076971,54725000
A,omp,guided,16,100000,20,1,3,0.076315,54725000
A,omp,guided,64,100000,20,1,1,0.079601,54725000
A,omp,guided,64,100000,20,1,2,0.076146,54725000
A,omp,guided,64,100000,20,1,3,0.076433,54725000
A,omp,static,0,100000,20,2,1,0.039327,54725000
A,omp,static,0,100000,20,2,2,0.039063,54725000
A,omp,static,0,100000,20,2,3,0.038983,54725000
A,omp,dynamic,1,100000,20,2,1,0.039515,54725000
A,omp,dynamic,1,100000,20,2,2,0.039344,54725000
