task,variant,N,B,threads,run,time,checksum
B,seq,100000,32,1,1,0.000122,100000
B,seq,100000,32,1,2,0.000081,100000
B,seq,100000,32,1,3,0.000053,100000
B,seq,100000,256,1,1,0.000056,100000
B,seq,100000,256,1,2,0.000050,100000
B,seq,100000,256,1,3,0.000043,100000
B,seq,100000,4096,1,1,0.000043,100000
B,seq,100000,4096,1,2,0.000041,100000
B,seq,100000,4096,1,3,0.000042,100000
B,seq,500000,32,1,1,0.000266,500000
B,seq,500000,32,1,2,0.000263,500000
B,seq,500000,32,1,3,0.000265,500000
B,seq,500000,256,1,1,0.000203,500000
B,seq,500000,256,1,2,0.000203,500000
B,seq,500000,256,1,3,0.000201,500000
B,seq,500000,4096,1,1,0.000198,500000
B,seq,500000,4096,1,2,0.000201,500000
B,seq,500000,4096,1,3,0.000199,500000
B,seq,1000000,32,1,1,0.000478,1000000
B,seq,1000000,32,1,2,0.000464,1000000
B,seq,1000000,32,1,3,0.000476,1000000
B,seq,1000000,256,1,1,0.000393,1000000
B,seq,1000000,256,1,2,0.000390,1000000
B,seq,1000000,256,1,3,0.000405,1000000
B,seq,1000000,4096,1,1,0.000369,1000000
B,seq,1000000,4096,1,2,0.000374,1000000
B,seq,1000000,4096,1,3,0.000364,1000000
B,critical,100000,32,1,1,0.000955,100000
B,critical,100000,32,1,2,0.000814,100000
B,critical,100000,32,1,3,0.000795,100000
B,atomic,100000,32,1,1,0.000104,100000
B,atomic,100000,32,1,2,0.000096,100000
B,atomic,100000,32,1,3,0.000097,100000
B,local,100000,32,1,1,0.000044,100000
B,local,100000,32,1,2,0.000044,100000
B,local,100000,32,1,3,0.000046,100000
B,critical,100000,32,2,1,0.001376,100000
B,critical,100000,32,2,2,0.001238,100000
B,critical,100000,32,2,3,0.001405,100000
B,atomic,100000,32,2,1,0.001189,100000
B,atomic,100000,32,2,2,0.001187,100000
B,atomic,100000,32,2,3,0.001160,100000
B,local,100000,32,2,1,0.000068,100000
B,local,100000,32,2,2,0.000067,100000
B,local,100000,32,2,3,0.000068,100000
B,critical,100000,32,4,1,0.002028,100000
B,critical,100000,32,4,2,0.001863,100000
B,critical,100000,32,4,3,0.002056,100000
B,atomic,100000,32,4,1,0.001450,100000
B,atomic,100000,32,4,2,0.001433,100000
B,atomic,100000,32,4,3,0.001418,100000
B,local,100000,32,4,1,0.000080,100000
B,local,100000,32,4,2,0.000086,100000
B,local,100000,32,4,3,0.000077,100000
B,critical,100000,32,8,1,0.002149,100000
B,critical,100000,32,8,2,0.002209,100000
B,critical,100000,32,8,3,0.002504,100000
B,atomic,100000,32,8,1,0.002282,100000
B,atomic,100000,32,8,2,0.002217,100000
B,atomic,100000,32,8,3,0.002450,100000
B,local,100000,32,8,1,0.000170,100000
B,local,100000,32,8,2,0.000170,100000
B,local,100000,32,8,3,0.000154,100000
B,critical,100000,32,16,1,0.002824,100000
B,critical,100000,32,16,2,0.002618,100000
B,critical,100000,32,16,3,0.002670,100000
B,atomic,100000,32,16,1,0.002353,100000
B,atomic,100000,32,16,2,0.002418,100000
B,atomic,100000,32,16,3,0.002411,100000
B,local,100000,32,16,1,0.000252,100000
B,local,100000,32,16,2,0.000210,100000
B,local,100000,32,16,3,0.000208,100000
B,critical,100000,256,1,1,0.000687,100000
B,critical,100000,256,1,2,0.000666,100000
B,critical,100000,256,1,3,0.000666,100000
B,atomic,100000,256,1,1,0.000093,100000
B,atomic,100000,256,1,2,0.000101,100000
B,atomic,100000,256,1,3,0.000093,100000
B,local,100000,256,1,1,0.000037,100000
B,local,100000,256,1,2,0.000038,100000
B,local,100000,256,1,3,0.000038,100000
B,critical,100000,256,2,1,0.001558,100000
B,critical,100000,256,2,2,0.001560,100000
B,critical,100000,256,2,3,0.001566,100000
B,atomic,100000,256,2,1,0.000886,100000
B,atomic,100000,256,2,2,0.000763,100000
B,atomic,100000,256,2,3,0.000883,100000
B,local,100000,256,2,1,0.000067,100000
B,local,100000,256,2,2,0.000059,100000
B,local,100000,256,2,3,0.000063,100000
B,critical,100000,256,4,1,0.002666,100000
B,critical,100000,256,4,2,0.003339,100000
B,critical,100000,256,4,3,0.002707,100000
B,atomic,100000,256,4,1,0.000680,100000
B,atomic,100000,256,4,2,0.000684,100000
B,atomic,100000,256,4,3,0.000690,100000
B,local,100000,256,4,1,0.000078,100000
B,local,100000,256,4,2,0.000077,100000
B,local,100000,256,4,3,0.000078,100000
B,critical,100000,256,8,1,0.003028,100000
B,critical,100000,256,8,2,0.003197,100000
B,critical,100000,256,8,3,0.003237,100000
B,atomic,100000,256,8,1,0.001117,100000
B,atomic,100000,256,8,2,0.001227,100000
B,atomic,100000,256,8,3,0.001100,100000
B,local,100000,256,8,1,0.000158,100000
B,local,100000,256,8,2,0.000162,100000
B,local,100000,256,8,3,0.000121,100000
B,critical,100000,256,16,1,0.003894,100000
B,critical,100000,256,16,2,0.003814,100000
B,critical,100000,256,16,3,0.003986,100000
B,atomic,100000,256,16,1,0.001182,100000
B,atomic,100000,256,16,2,0.001202,100000
B,atomic,100000,256,16,3,0.001197,100000
B,local,100000,256,16,1,0.000212,100000
B,local,100000,256,16,2,0.000201,100000
B,local,100000,256,16,3,0.000209,100000
B,critical,100000,4096,1,1,0.000702,100000
B,critical,100000,4096,1,2,0.000708,100000
B,critical,100000,4096,1,3,0.000694,100000
B,atomic,100000,4096,1,1,0.000094,100000
B,atomic,100000,4096,1,2,0.000094,100000
B,atomic,100000,4096,1,3,0.000093,100000
B,local,100000,4096,1,1,0.000045,100000
B,local,100000,4096,1,2,0.000043,100000
B,local,100000,4096,1,3,0.000042,100000
B,critical,100000,4096,2,1,0.002529,100000
B,critical,100000,4096,2,2,0.002513,100000
B,critical,100000,4096,2,3,0.002559,100000
B,atomic,100000,4096,2,1,0.000595,100000
B,atomic,100000,4096,2,2,0.000592,100000
B,atomic,100000,4096,2,3,0.000597,100000
B,local,100000,4096,2,1,0.000059,100000
B,local,100000,4096,2,2,0.000072,100000
B,local,100000,4096,2,3,0.000061,100000
B,critical,100000,4096,4,1,0.004741,100000
B,critical,100000,4096,4,2,0.005084,100000
B,critical,100000,4096,4,3,0.004980,100000
B,atomic,100000,4096,4,1,0.000532,100000
B,atomic,100000,4096,4,2,0.000526,100000
B,atomic,100000,4096,4,3,0.000543,100000
B,local,100000,4096,4,1,0.000086,100000
B,local,100000,4096,4,2,0.000088,100000
B,local,100000,4096,4,3,0.000081,100000
B,critical,100000,4096,8,1,0.005224,100000
B,critical,100000,4096,8,2,0.005063,100000
B,critical,100000,4096,8,3,0.005219,100000
B,atomic,100000,4096,8,1,0.000600,100000
B,atomic,100000,4096,8,2,0.000591,100000
B,atomic,100000,4096,8,3,0.000627,100000
B,local,100000,4096,8,1,0.000143,100000
B,local,100000,4096,8,2,0.000142,100000
B,local,100000,4096,8,3,0.000158,100000
B,critical,100000,4096,16,1,0.008786,100000
B,critical,100000,4096,16,2,0.009570,100000
B,critical,100000,4096,16,3,0.009236,100000
B,atomic,100000,4096,16,1,0.000660,100000
B,atomic,100000,4096,16,2,0.000709,100000
B,atomic,100000,4096,16,3,0.000685,100000
B,local,100000,4096,16,1,0.000284,100000
B,local,100000,4096,16,2,0.000252,100000
B,local,100000,4096,16,3,0.000263,100000
B,critical,500000,32,1,1,0.003406,500000
B,critical,500000,32,1,2,0.003370,500000
B,critical,500000,32,1,3,0.003353,500000
B,atomic,500000,32,1,1,0.000448,500000
B,atomic,500000,32,1,2,0.000446,500000
B,atomic,500000,32,1,3,0.000446,500000
B,local,500000,32,1,1,0.000203,500000
B,local,500000,32,1,2,0.000197,500000
B,local,500000,32,1,3,0.000201,500000
B,critical,500000,32,2,1,0.006541,500000
B,critical,500000,32,2,2,0.006641,500000
B,critical,500000,32,2,3,0.006493,500000
B,atomic,500000,32,2,1,0.005231,500000
B,atomic,500000,32,2,2,0.005686,500000
B,atomic,500000,32,2,3,0.005727,500000
B,local,500000,32,2,1,0.000197,500000
B,local,500000,32,2,2,0.000184,500000
B,local,500000,32,2,3,0.000197,500000
B,critical,500000,32,4,1,0.010682,500000
B,critical,500000,32,4,2,0.009990,500000
B,critical,500000,32,4,3,0.010028,500000
B,atomic,500000,32,4,1,0.006948,500000
B,atomic,500000,32,4,2,0.006938,500000
B,atomic,500000,32,4,3,0.006862,500000
B,local,500000,32,4,1,0.000150,500000
B,local,500000,32,4,2,0.000164,500000
B,local,500000,32,4,3,0.000170,500000
B,critical,500000,32,8,1,0.011871,500000
B,critical,500000,32,8,2,0.011370,500000
B,critical,500000,32,8,3,0.011687,500000
B,atomic,500000,32,8,1,0.011524,500000
B,atomic,500000,32,8,2,0.012317,500000
B,atomic,500000,32,8,3,0.012198,500000
B,local,500000,32,8,1,0.000212,500000
B,local,500000,32,8,2,0.000207,500000
B,local,500000,32,8,3,0.000215,500000
B,critical,500000,32,16,1,0.013202,500000
B,critical,500000,32,16,2,0.013305,500000
B,critical,500000,32,16,3,0.012770,500000
B,atomic,500000,32,16,1,0.011714,500000
B,atomic,500000,32,16,2,0.012181,500000
B,atomic,500000,32,16,3,0.012205,500000
B,local,500000,32,16,1,0.000350,500000
B,local,500000,32,16,2,0.000329,500000
B,local,500000,32,16,3,0.000303,500000
B,critical,500000,256,1,1,0.003306,500000
B,critical,500000,256,1,2,0.003367,500000
B,critical,500000,256,1,3,0.003345,500000
B,atomic,500000,256,1,1,0.000456,500000
B,atomic,500000,256,1,2,0.000448,500000
B,atomic,500000,256,1,3,0.000445,500000
B,local,500000,256,1,1,0.000185,500000
B,local,500000,256,1,2,0.000174,500000
B,local,500000,256,1,3,0.000176,500000
B,critical,500000,256,2,1,0.007525,500000
B,critical,500000,256,2,2,0.007383,500000
B,critical,500000,256,2,3,0.007618,500000
B,atomic,500000,256,2,1,0.004156,500000
B,atomic,500000,256,2,2,0.004065,500000
B,atomic,500000,256,2,3,0.004148,500000
B,local,500000,256,2,1,0.000131,500000
B,local,500000,256,2,2,0.000129,500000
B,local,500000,256,2,3,0.000132,500000
B,critical,500000,256,4,1,0.021537,500000
B,critical,500000,256,4,2,0.013428,500000
B,critical,500000,256,4,3,0.016227,500000
B,atomic,500000,256,4,1,0.003434,500000
B,atomic,500000,256,4,2,0.003373,500000
B,atomic,500000,256,4,3,0.003337,500000
B,local,500000,256,4,1,0.000118,500000
B,local,500000,256,4,2,0.000120,500000
B,local,500000,256,4,3,0.000117,500000
B,critical,500000,256,8,1,0.014964,500000
B,critical,500000,256,8,2,0.014882,500000
B,critical,500000,256,8,3,0.014328,500000
